1;Focal;Chora 826;1;BEST VALUE FLOORSTANDING LOUDSPEAKER
2;SVS;Prime Pinnacle;1;BEST LOUDSPEAKER 
3;Monitor Audio;Bronze 100;1;BEST VALUE BOOKSHELF LOUDSPEAKER
4;System Audio;Legend 5 silverback;1;BEST WIRELESS LOUDSPEAKER
5;NAD;Masters M33;1;BEST SMART AMPLIFIER
6;Arcam;SA30;1;BEST AMPLIFIER
7;Musical Fidelity;M8xi;1;BEST HIGH-END INTEGRATED AMPLIFIER
8;ROTEL Michi;P5/S5;1;HIGH-END PRE/POWER AMPLIFIER
9;Thorens;TD 1601;1;BEST TURNTABLE
10;Pro-Ject;T1;1;BEST VALUE TURNTABLE
11;iFi Audio;ZEN DAC;1;BEST VALUE DAC
12;Volumio;Primo;1;BEST DIGITAL SOURCE
13;Pro-Ject;VC-E;1;BEST AUDIO ACCESSORY
14;Primare;R15;1;BEST PHONO PREAMP
15;FiiO;M11 Pro;1;BEST MOBILE AUDIO PLAYER
16;DALI;IO-6;1;BEST HEADPHONES
17;AudioQuest;DragonFly Cobalt;1;PORTABLE DAC/HEADPHONE AMPLIFIER
18;Arendal Sound;1961 Series;2;HOME THEATRE SPEAKER SYSTEM
19;Triangle;Borea Series;2;BEST BUY HOME THEATRE SPEAKER SYSTEM
20;LG;SN8YG;2;BEST SOUNDBAR
21;Bang & Olufsen;Beosound Stage;2;BEST PREMIUM SOUNDBAR
22;Harman Kardon;Citation MultiBeam 700;2;Best SMART SOUNDBAR
23;TCL;TS9030 RAY·DANZ;2;Best Buy Soundbar
24;Denon;AVC-X4700H;2;BEST HOME THEATRE RECEIVER
25;Trinnov;Altitude platform;2;High-End Home Theatre
26;Emotiva;XPA Gen3;2;BEST HOME THEATRE RECEIVER
27;JVC;EXOFIELD XP-EXT1;2;BEST HOME THEATRE HEADPHONE
28;SVS;SB-2000 Pro;2;BEST HOME THEATRE SUBWOOFER
29;Zappiti;Pro 4K HDR;2;Best Home Theatre Media Player
30;LG;OLED65GX;3;BEST PREMIUM OLED TV
31;LG;75NANO99;3;BEST 8K TV
32;Samsung;QE75Q950TS;3;BEST LARGE SCREEN TV
33;Philips;55OLED805;3;BEST BUY OLED TV
34;Philips;65OLED935;3;BEST HOME THEATRE TV
35;TCL;65C815;3;BEST BUY TV
36;Optoma;CinemaX UHZ65UST;3;BEST PROJECTOR
37;Kenwood;DMX9720XDS;4;BEST IN-CAR HEAD UNIT
38;Audiotec Fischer;Helix DSP ULTRA;4;BEST IN-CAR SOUND PROCESSOR
39;Ground Zero;GZDSP 4-8XII;4;BEST VALUE IN-CAR DSP
40;Mosconi;GLADEN ATOMO 2;4;BEST IN-CAR AMPLIFIER
41;ETON;Stealth 7.1 DSP;4;BEST IN-CAR DSP AMPLIFIER
42;ESB;8.6K3U LE;4;BEST IN-CAR SPEAKER SYSTEM
43;Hifonics;ZRX6D2;4;BEST IN-CAR SUBWOOFER
44;Kenwood;DRV-A501W;4;BEST IN-CAR DASHCAM
45;Audison;bit One HD Virtuoso;4;BEST IN-CAR HIGH END COMPONENT
46;Zenec;Z-E3766;4;BEST CAMPERVAN HEAD UNIT
47;OnePlus;8 Pro;5;BEST SMARTPHONE
48;OPPO;Find X2 Pro;5;BEST ADVANCED SMARTPHONE
49;Huawei;P40 Pro;5;BEST SMARTPHONE CAMERA
50;Samsung;Galaxy Z Flip;5;BEST FOLDABLE SMARTPHONE
51;Sony;Xperia 1 II;5;BEST MULTIMEDIA SMARTPHONE
52;Bowers & Wilkins;PX5;5;BEST ON-EAR HEADPHONES
53;DALI;IO-6;5;BEST HEADPHONES
54;Sennheiser;Momentum True Wireless 2;5;BEST IN-EAR HEADPHONES
55;Huawei;Watch GT 2;5;BEST SMARTWATCH
56;FiiO;M11 Pro;5;BEST MOBILE AUDIO PLAYER
57;LG;XBOOM Go PL7;5;BEST MOBILE SPEAKER
58;Fujifilm;X-T4;6;EISA CAMERA OF THE YEAR
59;Nikon;Z 50;6;BEST BUY CAMERA
60;Nikon;D780;6;BEST FULL-FRAME CAMERA
61;Canon;EOS-1D X Mark III;6;BEST PROFESSIONAL CAMERA
62;Fujifilm;X100V;6;BEST COMPACT CAMERA
63;Sony;Vlog Camera ZV-1;6;Best Vlogging Camera
64;Canon;EOS R5;6;BEST CAMERA INNOVATION
65;DJI;Mavic Air 2;6;BEST CAMERA DRONE
66;DxO Labs;Nik Collection 3;6;BEST PHOTO SOFTWARE
67;EIZO;ColorEdge CS2740;6;MONITOR OF THE YEAR
